"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"TCGA.EB.A44Q"	0.146033683974824	0.136505428952536	0.185944744038658	3.78611594708205e-11	0.0129512600578544	6.4779089910279e-15	0.125215290332844	0.119265704288385	0.134605767325142
"TCGA.EB.A44R"	0.0496589179800341	9.11137231688971e-15	0.0634665985267147	9.11137231688971e-15	0.122923983335417	0.0486186322832398	0.0635724388892283	0.160770742688935	0.314953764044338
"TCGA.EB.A5KH"	6.59996474127362e-15	0.00120595601947089	6.59996474127362e-15	6.59996474127362e-15	0.00701397757713915	0.0316424927548414	0.0319510208459937	0.00725591813451263	0.000856045700505562
"TCGA.EB.A5SG"	0.0832312068752973	0.129227372094338	0.377534811658612	0.0982654681811539	6.29429167027265e-15	0.0346564728238746	0.0530654967159813	6.29429167027265e-15	0.0209172926624451
"TCGA.EB.A5SH"	0.00342115762212138	0.00495176295947403	6.48281959734761e-15	6.48281959734761e-15	0.0317516853328066	0.0102106924360126	6.48281959734761e-15	0.0830790876226595	0.00675811401224283
"TCGA.EB.A5UL"	0.0997162831805121	0.0481720013397568	0.0443941491744422	1.00467766193265e-14	1.00467766193265e-14	1.00467766193265e-14	0.092392651522717	0.0799237422465017	0.22182875296262
"TCGA.EB.A5UN"	7.46050816129165e-15	0.0189790703753263	7.46050816129165e-15	0.0973860365375173	0.0105739699436089	0.0754683635203534	0.186241630887805	0.110269616337982	0.0490493752766361
"TCGA.EB.A5VV"	0.473730629271511	4.53619246324033e-15	0.0312528041846318	0.0508898045383639	0.114251852038835	0.00241768075854532	0.0297039724758821	6.01389687663237e-06	0.0619491573647548
"TCGA.EB.A6L9"	0.312994325115317	0.022523138514445	0.0168243041585508	6.98210988277046e-15	0.101032935185491	0.0246677583736106	0.04915792939325	0.0145532864160198	6.98210988277046e-15
"TCGA.EE.A17X"	0.0035376241697492	0.0513394948242407	0.000390100508152815	0.0370790446159589	8.01819008694463e-15	0.0286161995135246	0.0108030216715236	0.107147432835878	0.0421826703239208
"TCGA.EE.A17Y"	7.37979422141455e-15	7.37979422141455e-15	7.37979422141455e-15	1.05145040214796e-08	0.0133198010740637	0.207639752721792	0.164550893015099	0.0970617932970594	0.0342837134629408
"TCGA.EE.A17Z"	0.00878477800699779	6.22611732457281e-15	6.22611732457281e-15	6.22611732457281e-15	0.0824839107924095	0.0214417305640054	0.127225552059199	0.0771075283607461	0.0403851429649479
"TCGA.EE.A180"	0.00446581151461782	0.00758705524498828	0.0107286616781942	1.03505153866164e-14	0.0161169727749083	0.077504068225157	0.0591343100312867	0.258780700345359	0.00232480039332581
"TCGA.EE.A181"	0.150764597478494	0.00437519853421526	0.246511132300206	0.164570558239157	0.0226930589532354	0.0138239437309602	0.0555086497017307	0.142798120770853	0.0698175623583166
"TCGA.EE.A182"	5.59593457138816e-15	0.123733206888941	0.00425621734384324	0.00184348746566899	0.0243739767668648	0.0750496371354917	5.59593457138816e-15	5.59593457138816e-15	1.17798509590114e-05
"TCGA.EE.A183"	0.228277083468459	0.0892093735251352	6.5037301050216e-09	0.0164871959120203	0.130262960184561	0.0597575219790677	0.0209164585279163	0.00604121543178855	7.69552766897217e-15
"TCGA.EE.A184"	0.0113895560815605	0.077344454596682	0.0970112374577193	2.47202703880087e-09	1.09838607604419e-14	0.0193879689395099	0.111002331314303	0.234709914353731	0.101273335003895
"TCGA.EE.A185"	0.00276881752310544	0.00419683861066551	5.70501259264783e-15	5.70501259264783e-15	5.70501259264783e-15	0.0175553825680401	0.00311054617247833	0.119162477801986	0.00844833054240423
"TCGA.EE.A20B"	0.0357873302154161	0.105132615800769	0.103081686784768	0.087545322024145	0.189664830383007	0.15507180740852	0.0607471751470672	0.128106408024729	0.0910982934151947
"TCGA.EE.A20C"	6.79260028219179e-15	6.79260028219179e-15	6.79260028219179e-15	0.0271883612354296	0.0184563020205793	0.0174611181823974	6.79260028219179e-15	0.0306065580637932	0.0424848811597475
"TCGA.EE.A20F"	0.00844113527951643	0.0493692052418927	0.176402122363038	0.103604381937057	0.0355919733205856	0.0228224329575649	0.237812523418432	0.131529989382947	0.0444185570945522
"TCGA.EE.A20H"	6.95712869077753e-15	6.95712869077753e-15	6.95712869077753e-15	6.95712869077753e-15	0.0551021318887746	0.0370133563752739	0.196500685827357	0.189650295442959	0.0960052238060803
"TCGA.EE.A20I"	1.03306109530998e-14	0.0146772918421085	0.0263880472237767	1.03306109530998e-14	0.0299776101707182	0.170971045356928	0.00629266860662674	0.215581784900552	0.0335364120278654
"TCGA.EE.A29A"	7.46470576766764e-15	7.46470576766764e-15	7.46470576766764e-15	7.46470576766764e-15	0.0660729426828077	0.169885528078384	0.0995424448082672	0.0822223731005994	0.0417863701329208
"TCGA.EE.A29B"	7.66830717682687e-15	0.108023326976133	7.66830717682687e-15	0.0455079274721408	0.0227851054849522	0.00510610652587219	0.0330035395320339	0.0868502945181816	7.66830717682687e-15
"TCGA.EE.A29C"	8.26619946889359e-15	0.0515150399264067	0.0003951041074396	0.0124524460886383	0.170912854750002	0.195497879332167	0.157047988276507	0.0592153027512879	0.00142035826059564
"TCGA.EE.A29D"	0.0114045877173869	0.026867094140157	9.12495675901905e-15	2.62089223999319e-14	0.00411714035572781	0.0807748512915868	0.0826900658139121	0.258460469151625	0.108581993599136
"TCGA.EE.A29E"	6.04848304222226e-15	0.0207773530644844	6.04848304222226e-15	0.00256972973529214	0.0164251569387814	0.0447834468690497	0.102626608453596	0.0918668917534627	0.0535746627967724
"TCGA.EE.A29G"	0.0564406192052129	0.111312026159472	0.0242163218677729	0.0205284539201044	0.235984760795714	0.0461704801121566	0.184869043772331	0.106884433393871	0.0369166172555114
"TCGA.EE.A29H"	0.0815526100164734	0.0260314251999202	0.0148380074078395	1.28423184883222e-14	0.00936518158620598	0.0651538661217751	0.0963074563491213	0.129565886020237	0.0767091824545519
"TCGA.EE.A29L"	0.00720409516891366	0.0219155734216474	5.506835452738e-15	5.506835452738e-15	0.00217511034047925	0.00493493290960505	0.0116394924801028	0.0662515616754204	0.0430176771200019
"TCGA.EE.A29M"	0.148294902267109	0.0262846889059169	0.0634122093511056	0.0270408927700389	0.0329896683685172	0.00638184421471763	0.172220333159774	0.180470871169467	0.147397499826632
"TCGA.EE.A29N"	0.238510170172793	0.0533911892561429	0.139967331170818	0.132753193733089	0.0452957731320153	0.0543051044050669	0.140078055379765	0.0847728798162727	0.0540067889436949
"TCGA.EE.A29P"	0.139330309867814	0.0658322542471616	0.356525899657408	0.113382037362609	0.0578171138810168	0.0326058905687606	0.0428622741644172	0.0664937682633471	0.0455759335486034
"TCGA.EE.A29Q"	3.0136814248995e-05	0.0128092488432412	9.46546029192662e-15	0.00679174084323962	0.0422152747596094	0.0132134960967498	0.0619351543631464	0.109071835662414	0.0905262419221585
"TCGA.EE.A29R"	7.78657195414987e-15	7.78657195414987e-15	7.78657195414987e-15	7.78657195414987e-15	0.107499839291128	0.0498054849561598	0.193000690701054	0.0238052969653957	0.140359630187537
"TCGA.EE.A29S"	0.0495301818621918	0.0806104176898327	0.0154103639573109	0.0666173250473652	0.108345662264313	0.202763832900325	1.04073342913495e-14	0.193189880513564	1.04073342913495e-14
"TCGA.EE.A29T"	0.0603186521706034	0.191592680130418	0.164622637714735	0.143105153244417	0.067027416679335	0.0427529706290967	0.0159141847588136	0.0325428046298484	7.52397540436037e-15
"TCGA.EE.A29V"	6.65080491682357e-15	0.0295482654231644	6.65080491682357e-15	0.00118483651508933	0.00622457710705726	0.0338318738419335	6.65080491682357e-15	0.0828103696458221	0.0429130901253418
"TCGA.EE.A29W"	8.39264449754362e-15	8.39264449754362e-15	8.39264449754362e-15	8.39264449754362e-15	0.245947431581692	0.191530219256275	0.062295365522792	0.117866959557147	0.0146514617114831
"TCGA.EE.A29X"	0.0598542322342877	0.207834363068323	0.098955310642362	0.190800239146811	0.0415941398125127	0.0579191653376112	8.64359984494404e-15	0.0871706953489919	0.000174267738426334
