Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA-D3-A3C7	0	0.00616142994916773	0.0589108434301045	0.573099193774959	0	0	0.184392370722564	0.169842182302907	0.0825583739907414	0.0180436309009786	0	0.116024522644115	0.106794795408972	1.16210756421853	0.170994390330677	0.789280322575251	0.0291690800211578	0	0	0.269065834189955	0	0	0	0.22213647805673	1.01775282014024	3.73644453446008
TCGA-D3-A3C8	0	0	0.0160543720458584	4.93080166891127	0	0	1.01124811097905	0.607912887809368	0.0827871180060512	0.534606779937208	0	0.677310709226556	0.158271152196974	0	0.50059060267621	1.02628474564772	0.00177330845309992	0	0	0.092216748632512	0	0	0	0.44734181954867	0.908946179436736	9.63985820452188
TCGA-D3-A3CB	0.21799920485462	0.0537604092575373	0.129045522362701	1.39182914963596	0	0	0.155684382734393	0.309204316299941	0.302055101782519	0	0	0.0190381488306796	0.0914217678331582	1.92155140495032	0.373784620085383	1.30062276332676	0.0150100876820013	0	0.0359813200503479	0	0	0	0	0.534383792148254	0.845252170616536	6.31698819968632
TCGA-D3-A3CC	0.00241718746606693	0.0082819070379782	0.0543941848942374	0	0	0.322132614498277	0	0.0146870827569818	0.0298883469733149	0	0.00389562330011569	0.0865552582167609	0.0987328524941451	0	0	1.05312310238584	0.00439276188216623	0.0105631868533677	0.375798259111961	0	0	0	0.3	0.0539981846574333	1.08585451946144	2.06486236787121
TCGA-D3-A3CE	0	0	0.689515354357244	1.12175761010014	0	0	0.0264976071850153	0.201291894001914	0.0386928437409365	0	0	0.352832487234543	0.229397661589637	0	0.31325386847647	0.629664527638279	0.0174672446038576	0	0	0.032611608405851	0	0	0	0.25734840654861	0.984805317056524	3.65298270733388
TCGA-D3-A3CF	0.449279745457883	0.3475110561381	0.147608452191272	0.443432252772802	0	0.711441295645695	0	0.403521294281485	0.277941140130983	0	0	0.230935667773699	0.0696538293585405	0.053209638875344	0.262181043883365	1.34769733361003	0	0	0.024428079995912	0	0	0.00962505171303671	0.05	0.134369301118932	1.03427448153239	4.77846588182815
TCGA-D3-A3ML	0.102018182795138	0	0.136051174542338	0.147078396523851	0	0.0765151038179091	0.00267279095872152	0.122649806728038	0.00424272499930818	0	0	0.0699453205616941	0	0.0373929219179789	0.103803741664124	0.811807676129724	0	0	0.0272896807220978	0	0	0	0.81	-0.011331102378546	1.10653049606678	1.64146752136092
TCGA-D3-A3MO	0	0.157250382397528	0.0684746820560661	0	0	0.278575205105635	0.00213697232471847	0.00503273972342999	0.047122246158958	0	0.116057308397439	0	0	1.62792574515377	0.0282133687108664	0.138212360830916	0	0	0.0594414036209332	0	0	0	0	0.658426507677807	0.753681752475835	2.52844241448026
TCGA-D3-A3MR	0	0.468427685818108	0.064010381193743	1.20248856090733	0	0	0.00894303038252066	0.251973308698071	0.110224869366871	0.223890145299638	0	0.388154746935319	0	0.824369446453491	0.567842184358223	0.535123228411825	0	0	0	0	0	0	0	0.396463591550397	0.924468586180327	4.64544758782514
TCGA-D3-A3MU	0.033871572986263	0.0507677045478864	0.104863512179039	0.242553556679247	0	0.131535042916509	0	0.150102904276072	0.0742216256605599	0	0	0.100226646185399	0.0312148201591893	1.28371036645647	0.18223593911054	0.303696500109079	0	0	0.0175672381191995	0	0	0	0	0.579055100163265	0.814849273052489	2.70656742938545
TCGA-D3-A3MV	0.198039086989775	0	0.101762420953236	0.176014118336859	0	0.0257136680641951	0	0.0264637641461266	0.0202438641290123	0	0.0205867378877241	0	0.0343050158113401	0.466838798041181	0.0117701111405448	0.69068688610417	0	0	0	0	0	0	0.02	0.190940932121562	1.03827412232314	1.77242447160416
TCGA-D3-A51E	0	0	0.355459634424346	0.953289827513045	0	0	0.182516189401978	0.43421102231006	0.0101950011710789	0	0	0.302376386361699	0.122071926173757	0.288527763760451	0.411022417195119	0.655866475813095	0	0	0	0.0877930663033423	0	0	0.08	0.118937988760104	1.04940486874951	3.80332971042797
TCGA-D3-A51F	0	0.0610258108768074	0.0931211347447908	3.59553622499197	0	0	0.0554677691489446	0.710141019197781	0.178703017415606	0.671381835990229	0	1.14050677737059	0.0349903558000253	0	0.61243753210005	1.00227751752888	0.128980293821726	0	0	0.247873491154945	0	0	0	0.48978614780227	0.881388084380712	8.53244278014234
TCGA-D3-A51H	2.31701793068596	1.97738161744046	0	0.721966903348472	0	0	0.198575360990157	0.517487703745967	0.542185962056991	0.136339147202264	0	0.0671325339421643	0.0498524072162618	0.884610650753673	0.367479251935829	0.572915566234424	0	0	0.00533191189916515	0	0	0	0	0.592780481613493	0.809234575898484	8.35827694745179
TCGA-D3-A51J	0	0.403734638977514	0.127460046797285	1.1711995380586	0	0.113338595368706	0	0.375478600530821	0.346483887404808	0.210322620337103	0	0.501989403858983	0.239521124006215	0.452451161323061	0.515785910259615	0.455127179699756	0.039502672615255	0	0.0660711113838	0	0	0	0	0.288632775408091	0.978070434765561	5.01846649062152
TCGA-D3-A51K	0	0.178465406178914	0.26531734212189	0.428534673074799	0	0	0.0267670873550613	0.214659312455803	0.0388894292905328	0	0	0.173720988360024	0.0208563185218778	0.0186601496771914	0.0329107919938877	0.417978301685938	0.00442470302650687	0	0.0969174738698342	0	0	0	0.0600000000000001	0.128589740432271	1.03154887771949	1.91810197761226
TCGA-D3-A51N	0	0.365959010697059	0	0.175181776124662	0	0	0	0.216525729806663	0.177231820829574	0.0640232062375476	0	0.012031494798979	0	1.1724042128462	0.454333093696904	0.376917553375015	0	0	0	0.196396139482912	0	0	0	0.325493664059615	0.970055435255033	3.21100403789552
TCGA-D3-A51R	0.198668891187971	0	0.276132046923612	0	0	0.0429478248799067	0	0.0205535079469653	0.0322935133875326	0	0.00473054099073806	0	0.0148705612872606	0.403853354758021	0.0107184346284135	0.121959651637497	0	0	0	0	0	0	0.55	0.0196523159315892	1.0974723039862	1.12672832762792
TCGA-D3-A51T	0.132992022794467	0.115940214213056	0.174729376770332	0.471255090862414	0	0	0.0313121512275247	0.362175768682978	0.101197823795244	0	0.0470046401939173	0.0620215833474512	0.0905718097234182	0.317463150691435	0.312287069580256	0.94089577013091	0.00955147974408058	0	0.0729979494500489	0	0	0	0.57	0.0161596917520139	1.08178741811821	3.24239590120753
TCGA-D3-A5GL	0	0.0220398406696317	0.409625221405049	0.213580114706295	0	0	0	0.323702639484387	0	0	0	0.165915625055657	0.183174207177824	0.373706134688169	0.0592431689665652	0.968421933539361	0	0	0.0332170529865186	0	0	0	0.55	0.0197235282544018	1.08384720117763	2.75262593867946
TCGA-D3-A5GN	0	0.202415481289273	0.151753517949698	0.312508846054455	0	0	0.0769551078718207	0.237305424315527	0	0	0	0.182673898264667	0.0626476748746211	0.639939077256269	0.192462295011812	0.226359624159393	0	0	0.0529727706345774	0	0	0	0	0.427273194542335	0.903870975447663	2.33799371768211
TCGA-D3-A5GO	0	0.0275432190923638	0	0.512420366628052	0	0	0	0.267976873871353	0.115620396801215	0	0	0.0695902693714222	0	1.64345542858646	0.200694984993333	0.449109716760279	0	0	0	0.134912339749124	0	0	0.04	0.178800853358444	1.06963577979737	3.42132359585361
TCGA-D3-A5GR	0	0.758097495121583	0	0.304771823053299	0	0.422553661068999	0	0.126505845677463	0.177704275759973	0	0	0.21555607910988	0	0.817937071988692	0.306962416265735	0.361807514615449	0	0	0.0514064752892632	0	0	0	0	0.419383980948802	0.90794318407859	3.54330265795033
TCGA-D3-A5GS	0.00156816650689929	0	0.0217951155213925	0.847588057043783	0	0	0	0.222302537061012	0.145802854498623	0	0	0.245949187715697	0.107773046901015	0	0.216350980296679	0.881835626316031	0.00792332712570867	0	0	0.0135869950254161	0	0	0.0600000000000001	0.131495609038032	1.05877864998912	2.71247589401226
TCGA-D3-A5GU	0.016217021052358	0	0.0148991528446285	0.581447396228726	0	0.120258912372591	0	0.234877497549245	0.0378834702413271	0.0442402751845396	0	0.136428802455829	0.0365040481846653	0	0.164171571528957	0.852436319599777	0.00129006514883397	0	0	0.0112198683575093	0	0	0.02	0.196937711616722	1.02403290418617	2.25187440074898
TCGA-D3-A8GB	0.128135677851465	0.0827639403049428	0.191930039127071	0.750004209286923	0	0.0408721485563224	0	0.423797980950485	0.253571723931884	0	0	0.295266506645395	0.0306319045024893	0.0620295269439014	0.346944340501807	0.421057497388319	0	0	0.0537096633921329	0	0	0	0	0.435944074044993	0.900883288503032	3.08071515938314
TCGA-D3-A8GC	0.0124326283852906	0.00854105762837247	0.278787174967825	0.217168345622009	0	0	0.00252722918631529	0.148356555698425	0.022154422435331	0	0	0.0218642818062786	0.0931510374737184	0.408548579640778	0.0683245709364325	0.601490429140148	0.00222417406367024	0	0	0.00687944921877478	0	0	0	0.23284224105412	0.999178805060331	1.89244993620337
